Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Детские сады,Подпись 1,Общеобразовательные школы,Подпись 2,"Парки, скверы",Подпись 3,Медицинские центры,Подпись 4,Салоны красоты,Подпись 5,Порядок
Адмиралтейский,admiralteyskiy,62c72bc44d97865cac6da444,62cee235dadba93cc7906c69,Wed Jul 13 2022 15:18:13 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 15:57:53 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 16:06:27 GMT+0000 (Coordinated Universal Time),58,Детских садов,32,Школы,26,Парка,94,Мед. центра,148,Салонов красоты,
Центральный,centralnyy,62c72bc44d97865cac6da444,62cedea6a45ef1704668d568,Wed Jul 13 2022 15:03:02 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 15:58:28 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 16:06:27 GMT+0000 (Coordinated Universal Time),70,Детских садов,47,Школ,42,Парка,270,Мед. центров,281,Салон красоты,
Красногвардейский ,krasnogvardeyskiy,62c72bc44d97865cac6da444,62c7336a9756274b2bce4079,Thu Jul 07 2022 19:26:34 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 02:57:16 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 03:29:50 GMT+0000 (Coordinated Universal Time),82,Детских садов,40,Школ,13,Парков,99,Мед. центров,41,Салонов Красоты,2
Московский,moskovskiy,62c72bc44d97865cac6da444,62c7304b57c65182efaf881e,Thu Jul 07 2022 19:13:15 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 02:55:57 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 03:29:50 GMT+0000 (Coordinated Universal Time),70,Детских садов,47,Школ,42,Парков ,281,Мед. центров,270,Салонов Красоты,
Петроградский ,petrogradskiy,62c72bc44d97865cac6da444,62c735effabf985cd1f09a82,Thu Jul 07 2022 19:37:19 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 02:58:20 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 03:29:50 GMT+0000 (Coordinated Universal Time),45,Детских садов,25,Школ,46,Парков,158,Мед. центров,104,Салонов Красоты,3
Приморский,primorskiy,62c72bc44d97865cac6da444,62ceae28c246d2fd7453b7f8,Wed Jul 13 2022 11:36:08 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 15:58:45 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 16:06:27 GMT+0000 (Coordinated Universal Time),69,Детских садов,65,Школ,21,Парк,188,Мед. центров,238,Салонов красоты,
Василеостровский,vasileostrovskiy,62c72bc44d97865cac6da444,62c7a083ea5e63a45d895647,Fri Jul 08 2022 03:12:03 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 02:59:36 GMT+0000 (Coordinated Universal Time),Tue Jul 12 2022 03:29:50 GMT+0000 (Coordinated Universal Time),45,Детских садов,28,Школ,19,Парков,91,Мед. центров,107,Салонов Красоты,4
Выборгский,vyborgskiy,62c72bc44d97865cac6da444,62cee36feef726edc862a45a,Wed Jul 13 2022 15:23:27 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 15:58:17 GMT+0000 (Coordinated Universal Time),Wed Jul 13 2022 16:06:27 GMT+0000 (Coordinated Universal Time),73 ,Детских сада,59,Школ,26,Парков,215,Мед. центров,122,Салона красоты,
